,title,authors,isbn,publisher,categories,thumbnail
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,0439785960,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=QzI0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,0439358078,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=OIJ5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,0439554896,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=h2Y-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,0439682584,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=DAAAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606,Nimble Books,Fiction,http://books.google.com/books/content?id=LH5C9q83T6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,0439827604,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=v0z1PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0345453743,Del Rey Books,Fiction,http://books.google.com/books/content?id=4m0Qj9xKksYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
8,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,Crown,Fiction,http://books.google.com/books/content?id=YOr4SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517149257,Wings Books,Fiction,http://books.google.com/books/content?id=cA3jxBtM1vIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
10,A Short History of Nearly Everything,Bill Bryson,076790818X,Broadway Books,Science,http://books.google.com/books/content?id=YjAnfhsAQ8wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
11,Bill Bryson's African Diary,Bill Bryson,0767915062,Broadway Books,Biography & Autobiography,http://books.google.com/books/content?id=3QiTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435,Broadway Books,Language Arts & Disciplines,http://books.google.com/books/content?id=nRduHUeIzvAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
13,In a Sunburned Country,Bill Bryson,0767903862,Broadway Books,True Crime,http://books.google.com/books/content?id=7ZELqUsksIwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
14,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,Broadway Books,Biography & Autobiography,http://books.google.com/books/content?id=xb4wSmJLnhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
15,The Lost Continent: Travels in Small Town America,Bill Bryson,0060920084,William Morrow Paperbacks,Travel,http://books.google.com/books/content?id=3139wFo58H4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
16,Neither Here nor There: Travels in Europe,Bill Bryson,0380713802,William Morrow Paperbacks,Travel,http://books.google.com/books/content?id=LpkAcBTPy_kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
17,Notes from a Small Island,Bill Bryson,0380727501,William Morrow Paperbacks,Travel,http://books.google.com/books/content?id=rTXB680gLl8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
18,The Mother Tongue: English and How It Got That Way,Bill Bryson,0380715430,William Morrow Paperbacks,Language Arts & Disciplines,http://books.google.com/books/content?id=0vUMyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
19,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,0345538374,Ballantine Books,Fiction,http://books.google.com/books/content?id=rW9cLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
20,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,0618346252,Houghton Mifflin Harcourt,Fiction,http://books.google.com/books/content?id=S35cUR-u4y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
21,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,0618260587,Houghton Mifflin Harcourt,Fiction,http://books.google.com/books/content?id=c-izugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
22,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,0618391002,Houghton Mifflin Harcourt,Literary Criticism,http://books.google.com/books/content?id=Wu8x5MNS1rAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
23,The Lord of the Rings: Complete Visual Companion,Jude Fisher,0618510826,Houghton Mifflin Harcourt,Fiction,http://books.google.com/books/content?id=7_IRAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
24,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,Pragmatic Bookshelf,Computers,http://books.google.com/books/content?id=Qq9nQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
25,The Changeling,Zilpha Keatley Snyder,0595321801,iUniverse,Juvenile Fiction,http://books.google.com/books/content?id=bpaT5DgvTdgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
26,The Changeling (Daughters of England  #15),Philippa Carr,0449146979,Ivy Books,Fiction,http://books.google.com/books/content?id=5jE316OI8qgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
27,The Known World,Edward P. Jones,0061159174,Amistad,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
28,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,0273704745,FT Press,Business & Economics,http://books.google.com/books/content?id=QLw2sjBuF9oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
